LGA master list,,,,,,,
Tasmanian councils,,,,,,,
Name,Postcodes,RTO,Launceston and north,Hobart and south,East coast,West coast,North west
Break O'Day Council,"7213, 7214, 7215, 7216, 7264",ECTT,,,Yes - featured,,
Brighton Council,"7017, 7030",DST,,Yes - featured,,,
Burnie Council,"7320, 7321",WxNW,,,,,Yes - featured
Central Coast Council,"7315, 7316",WxNW,,,,,Yes - featured
Central Highlands Council,"7030, 7140, 7304",DST,,Yes - featured,,,
Circular Head Council,"7321, 7330, 7331",WxNW,,,,,Yes - featured
Clarence City Council,"7015, 7017, 7018, 7019, 7020, 7021, 7022, 7023, 7024, 7025, 7026, 7170, 7171, 7172",DST,,Yes - featured,,,
Derwent Valley Council,"7012, 7030, 7140, 7139",DST,,Yes - featured,,,
Devonport City Council,7310,WxNW,,,,,Yes - featured
Dorset Council,"7260, 7261, 7262, 7263, 7264, 7265, 7268",VNT,Yes - featured,,,,
Flinders Council,"7255, 7257",VNT,Yes - featured,,,,
George Town Council,"7252, 7253, 7254",VNT,Yes - featured,,,,
Glamorgan Spring Bay Council,"7190, 7209, 7210, 7213, 7215",ECTT,,,Yes - featured,,
Glenorchy Council,"7008, 7009, 7010, 7011, 7012",DST,,Yes - featured,,,
Hobart City Council,"7000, 7004, 7005, 7007, 7008, 7001",DST,,Yes - featured,,,
Huon Valley Council,"7109, 7112, 7113, 7116, 7117, 7150, 7163",DST,,Yes - featured,,,
Kentish Council,"7304, 7305, 7306, 7310",WxNW,,,,,Yes - featured
King Island Council,7256,WxNW,,,,,Yes - featured
Kingborough Council,"7050, 7052, 7053, 7054, 7055, 7150, 7155, 7162, 7163",DST,,Yes - featured,,,
Latrobe Council,"7275, 7305, 7307",WxNW,,,,,Yes - featured
Launceston City Council,"7248, 7249, 7250, 7252, 7254, 7258, 7259, 7267, 7268",VNT,Yes - featured,,,,
Meander Valley Council,"7250, 7277, 7291, 7292, 7301, 7302, 7303, 7304, 7290",VNT,Yes - featured,,,,
Northern Midlands Council,"7209, 7210, 7211, 7212, 7213, 7258, 7300, 7301, 7302",VNT,Yes - featured,,,,
Sorell Council,"7172, 7173, 7174, 7175, 7176, 7177",DST,,Yes - featured,,,
Southern Midlands Council,"7026, 7027, 7030, 7119, 7120, 7172, 7190",DST,,Yes - featured,,,
Tasman Council,"7177, 7178, 7179, 7180, 7182, 7183, 7184, 7185, 7186, 7187",DST,,Yes - featured,,,
Waratah-Wynyard Council,"7321, 7322, 7325",WxNW,,,,,Yes - featured
West Coast Council,"7466, 7467, 7468, 7469, 7470",WxNW,,,,Yes - featured,
West Tamar Council,"7250, 7270, 7275, 7276, 7277",VNT,Yes - featured,,,,
,,,,,,,
