Operator/attraction master list,,,,,,,,,,,,,
ATDW operator update_15 April 26,,,,,,,,,,,,,
Name,ATDW category,ATDW #,Town,Postcode,LGA,Secondary LGA,RTO,Town master list,Launceston and north,Hobart and south,East coast,West coast,North west
Fleur by Forbidden Sweets,RESTAURANT,AU2268528,Burnie,7320,Burnie Council,N/A,WxNW,Burnie,,,,,Yes - featured
The Fenway,ACCOMM,AU2268561,Invermay,7248,Launceston City Council,N/A,VNT,Invermay,Yes - featured,,,,
Le Quart D'Heure,RESTAURANT,AU2268941,Avoca,7213,Northern Midlands Council,N/A,VNT,Avoca,Yes - featured,,,,
Black Swan Bookshop,ATTRACTION,AU2269440,New Norfolk,7140,Derwent Valley Council,N/A,DST,New Norfolk,,Yes - featured,,,
Caffeine Method,RESTAURANT,AU2269721,Burnie,7320,Burnie Council,N/A,WxNW,Burnie,,,,,Yes - featured
The Elm & the Raven,ATTRACTION,AU2273310,Cygnet,7112,Huon Valley Council,N/A,DST,Cygnet,,Yes - featured,,,
MONA - Museum of Old and New Art,TOUR,AU2273644,Berriedale,7011,Glenorchy Council,N/A,DST,Berriedale,,Yes - featured,,,
Private Functions and Events at Prospect Country House,HIRE,AU2273656,Richmond,7025,Clarence City Council,N/A,DST,Richmond,,Yes - featured,,,
Glow Tour,TOUR,AU2278208,Hobart,7000,Hobart City Council,N/A,DST,Hobart,,Yes - featured,,,
Parkham Hall & Church,HIRE,AU2281408,Parkham,7304,Meander Valley Council,N/A,VNT,Parkham,Yes - featured,,,,
"Mabel's Lookout | Sauna, Bath & Channel Views",ACCOMM,AU2281853,North Bruny,7150,Kingborough Council,N/A,DST,North Bruny,,Yes - featured,,,
Oceanview Studio with Bath | Romantic Bruny Escape,ACCOMM,AU2281860,Alonnah,7150,Kingborough Council,N/A,DST,Alonnah,,Yes - featured,,,
The Wayfarer,ACCOMM,AU2282066,Eaglehawk Neck,7179,Tasman Council,N/A,DST,Eaglehawk Neck,,Yes - featured,,,
Islander Adventure Co,TOUR,AU2285293,North Bruny,7150,Kingborough Council,N/A,DST,North Bruny,,Yes - featured,,,
The Metz - Launceston,RESTAURANT,AU2285854,Launceston,7250,Launceston City Council,N/A,VNT,Launceston,Yes - featured,,,,
Main Street Views,ACCOMM,AU2287142,Currie,7256,King Island Council,N/A,WxNW,Currie,,,,,Yes - featured
Bronzewing Villas,ACCOMM,AU2287187,Naracoopa,7256,King Island Council,N/A,WxNW,Naracoopa,,,,,Yes - featured
ELUR,HIRE,AU2288727,Cambridge,7170,Clarence City Council,N/A,DST,Cambridge,,Yes - featured,,,
Plato's. Wonder. Create. Discover,ATTRACTION,AU2289540,Battery Point,7004,Hobart City Council,N/A,DST,Battery Point,,Yes - featured,,,
George's Place King Island Getaway,ACCOMM,AU2291584,Currie,7256,King Island Council,N/A,WxNW,Currie,,,,,Yes - featured
Devil's Gap King Island,ACCOMM,AU2291793,Currie,7256,King Island Council,N/A,WxNW,Currie,,,,,Yes - featured
Alexandra's,ACCOMM,AU2292575,Currie,7256,King Island Council,N/A,WxNW,Currie,,,,,Yes - featured
Craigie Knowe Vineyard Camp Ground,RESTAURANT,AU2292962,Cranbrook,7190,Glamorgan Spring Bay Council,N/A,ECTT,Cranbrook,,,Yes - featured,,
Longley International Hotel,RESTAURANT,AU2297319,Longley,7150,Kingborough Council,N/A,DST,Longley,,Yes - featured,,,
,,,,,,,,,,,,,
ATDW operator update_17 March 26,,,,,,,,,,,,,
Name,ATDW category,ATDW #,Town,Postcode,LGA,Secondary LGA,RTO,Town master list,Launceston and north,Hobart and south,East coast,West coast,North west
Riverfront Motel Restaurant,RESTAURANT,AU2202376,Rosetta,7010,Glenorchy Council,N/A,DST,Rosetta,,Yes - featured,,,
Wombat Campers,HIRE,AU2203537,Launceston,7250,Launceston City Council,N/A,VNT,Launceston,Yes - featured,,,,
Derwent Valley Railway,ATTRACTION,AU2203903,New Norfolk,7140,Derwent Valley Council,N/A,DST,New Norfolk,,Yes - featured,,,
Driftwood Cottage,ACCOMM,AU2209334,Dolphin Sands,7190,Glamorgan Spring Bay Council,N/A,ECTT,Dolphin Sands,,,Yes - featured,,
Felons Corner,ACCOMM,AU2209514,Sheffield,7306,Kentish Council,N/A,WxNW,Sheffield,,,,,Yes - featured
7 Mile Golf,ATTRACTION,AU2209516,Seven Mile Beach,7170,Clarence City Council,N/A,DST,Seven Mile Beach,,Yes - featured,,,
Pirie Tasmania,RESTAURANT,AU2211623,Grindelwald,7277,West Tamar Council,N/A,VNT,Grindelwald,Yes - featured,,,,
MARI BRUNY,RESTAURANT,AU2217965,Adventure Bay,7150,Kingborough Council,N/A,DST,Adventure Bay,,Yes - featured,,,
Diamond Island Resort,ACCOMM,AU2218107,Bicheno,7215,Glamorgan Spring Bay Council,N/A,ECTT,Bicheno,,,Yes - featured,,
Adventure Bay Beach House,ACCOMM,AU2218140,Adventure Bay,7150,Kingborough Council,N/A,DST,Adventure Bay,,Yes - featured,,,
Joanna's Jams,RESTAURANT,AU2218169,Invermay,7248,Launceston City Council,N/A,VNT,Invermay,Yes - featured,,,,
