Postcode master list,,,,,,,,,
Postcodes master list,,,,,,,,,
Name,RTO,Secondary RTO,LGA (Dropdown),Launceston and north,Hobart and south,East coast,West coast,North west,Item ID
7215,ECTT,N/A,"Break O'Day Council, Glamorgan Spring Bay Council",,,Yes - featured,,,18284134020
7290,VNT,N/A,Meander Valley Council,Yes - featured,,,,,18284262089
7139,DST,N/A,Derwent Valley Council,,Yes - featured,,,,18284253935
7000,DST,N/A,Hobart City Council,,Yes - featured,,,,18284134002
7001,DST,N/A,Hobart City Council,,Yes - featured,,,,18284226263
7004,DST,N/A,Hobart City Council,,Yes - featured,,,,18284134023
7005,DST,N/A,Hobart City Council,,Yes - featured,,,,18284134043
7007,DST,N/A,Hobart City Council,,Yes - featured,,,,18284134062
7008,DST,N/A,"Hobart City Council, Glenorchy Council",,Yes - featured,,,,18284134081
7009,DST,N/A,Glenorchy Council,,Yes - featured,,,,18284134135
7010,DST,N/A,Glenorchy Council,,Yes - featured,,,,18284134163
7011,DST,N/A,Glenorchy Council,,Yes - featured,,,,18284134194
7012,DST,N/A,"Glenorchy Council, Derwent Valley Council",,Yes - featured,,,,18284134219
7015,DST,N/A,Clarence City Council,,Yes - featured,,,,18284134269
7016,DST,N/A,Clarence City Council,,Yes - featured,,,,18284229594
7017,DST,N/A,Brighton Council,,Yes - featured,,,,18284134313
7018,DST,N/A,Clarence City Council,,Yes - featured,,,,18284134332
7019,DST,N/A,Clarence City Council,,Yes - featured,,,,18284134348
7020,DST,N/A,Clarence City Council,,Yes - featured,,,,18284134373
7021,DST,N/A,Clarence City Council,,Yes - featured,,,,18284134395
7022,DST,N/A,Clarence City Council,,Yes - featured,,,,18284134407
7023,DST,N/A,Clarence City Council,,Yes - featured,,,,18284134420
7024,DST,N/A,Clarence City Council,,Yes - featured,,,,18284134008
7025,DST,N/A,Clarence City Council,,Yes - featured,,,,18284134028
7026,DST,N/A,"Clarence City Council, Southern Midlands Council",,Yes - featured,,,,18284134048
7027,DST,N/A,Southern Midlands Council,,Yes - featured,,,,18284134083
7030,DST,N/A,"Brighton Council, Central Highlands Council, Derwent Valley Council, Southern Midlands Council",,Yes - featured,,,,18284134109
7050,DST,N/A,Kingborough Council,,Yes - featured,,,,18284134213
7052,DST,N/A,Kingborough Council,,Yes - featured,,,,18284134238
7053,DST,N/A,Kingborough Council,,Yes - featured,,,,18284134260
7054,DST,N/A,Kingborough Council,,Yes - featured,,,,18284134276
7055,DST,N/A,Kingborough Council,,Yes - featured,,,,18284134292
7109,DST,N/A,Huon Valley Council,,Yes - featured,,,,18284134311
7112,DST,N/A,Huon Valley Council,,Yes - featured,,,,18284134333
7113,DST,N/A,Huon Valley Council,,Yes - featured,,,,18284134349
7116,DST,N/A,Huon Valley Council,,Yes - featured,,,,18284134371
7117,DST,N/A,Huon Valley Council,,Yes - featured,,,,18284134390
7119,DST,N/A,Southern Midlands Council,,Yes - featured,,,,18284134406
7120,DST,N/A,Southern Midlands Council,,Yes - featured,,,,18284134001
7140,DST,N/A,"Central Highlands Council, Derwent Valley Council",,Yes - featured,,,,18284134021
