Town master list,,,,,,,,,
Towns in Tasmania,,,,,,,,,
Name,Postcode,RTO,LGA,Secondary LGA,Launceston and north,Hobart and south,East coast,West coast,North west
Maria Island,7215,ECTT,Glamorgan Spring Bay Council,N/A,,,Yes - featured,,
Abbotsham,7315,WxNW,Central Coast Council,N/A,,,,,Yes - featured
Abels Bay,7112,DST,Huon Valley Council,N/A,,Yes - featured,,,
Aberdeen,7310,WxNW,Devonport City Council,N/A,,,,,Yes - featured
Acacia Hills,7306,WxNW,Kentish Council,N/A,,,,,Yes - featured
Acton,7320,WxNW,Burnie Council,N/A,,,,,Yes - featured
Acton Park,7170,DST,Clarence City Council,N/A,,Yes - featured,,,
Adventure Bay,7150,DST,Kingborough Council,N/A,,Yes - featured,,,
Akaroa,7216,ECTT,Break O'Day Council,N/A,,,Yes - featured,,
Alberton,7263,VNT,Dorset Council,N/A,Yes - featured,,,,
Alcomie,7330,WxNW,Circular Head Council,N/A,,,,,Yes - featured
Allens Rivulet,7150,DST,Kingborough Council,N/A,,Yes - featured,,,
Alonnah,7150,DST,Kingborough Council,N/A,,Yes - featured,,,
Ambleside,7310,WxNW,Devonport City Council,N/A,,,,,Yes - featured
Andover,7120,DST,Southern Midlands Council,N/A,,Yes - featured,,,
Ansons Bay,7264,ECTT,Break O'Day Council,N/A,,,Yes - featured,,
Antill Ponds,7120,DST,Southern Midlands Council,N/A,,Yes - featured,,,
Apollo Bay,7150,DST,Kingborough Council,N/A,,Yes - featured,,,
Apslawn,7190,ECTT,Glamorgan Spring Bay Council,N/A,,,Yes - featured,,
Apsley,7030,DST,Central Highlands Council,Southern Midlands Council,,Yes - featured,,,
Arthur River,7330,WxNW,Circular Head Council,N/A,,,,,Yes - featured
Arthurs Lake,7030,DST,Central Highlands Council,N/A,,Yes - featured,,,
Austins Ferry,7011,DST,Glenorchy Council,N/A,,Yes - featured,,,
Avoca,7213,VNT,Northern Midlands Council,N/A,Yes - featured,,,,
Baden,7120,DST,Southern Midlands Council,N/A,,Yes - featured,,,
Badger Head,7270,VNT,West Tamar Council,N/A,Yes - featured,,,,
Bagdad,7030,DST,Southern Midlands Council,N/A,,Yes - featured,,,
Bakers Beach,7307,WxNW,Latrobe Council,N/A,,,,,Yes - featured
Banca,7265,VNT,Dorset Council,N/A,Yes - featured,,,,
Bangor,7267,VNT,Launceston City Council,N/A,Yes - featured,,,,
Barnes Bay,7150,DST,Kingborough Council,N/A,,Yes - featured,,,
Barretta,7054,DST,Kingborough Council,N/A,,Yes - featured,,,
Barrington,7306,WxNW,Kentish Council,N/A,,,,,Yes - featured
Battery Point,7004,DST,Hobart City Council,N/A,,Yes - featured,,,
Beaconsfield,7270,VNT,West Tamar Council,N/A,Yes - featured,,,,
Beaumaris,7215,ECTT,Break O'Day Council,N/A,,,Yes - featured,,
Beauty Point,7270,VNT,West Tamar Council,N/A,Yes - featured,,,,
Beechford,7252,VNT,George Town Council,N/A,Yes - featured,,,,
Bell Bay,7253,VNT,George Town Council,N/A,Yes - featured,,,,
Bellerive,7018,DST,Clarence City Council,N/A,,Yes - featured,,,
Bellingham,7254,VNT,George Town Council,N/A,Yes - featured,,,,
Ben Lomond,7212,VNT,Northern Midlands Council,N/A,Yes - featured,,,,
Berriedale,7011,DST,Glenorchy Council,N/A,,Yes - featured,,,
Beulah,7306,WxNW,Kentish Council,N/A,,,,,Yes - featured
Bicheno,7215,ECTT,Glamorgan Spring Bay Council,N/A,,,Yes - featured,,
Binalong Bay,7216,ECTT,Break O'Day Council,N/A,,,Yes - featured,,
Birchs Bay,7162,DST,Kingborough Council,N/A,,Yes - featured,,,
Birralee,7303,VNT,Meander Valley Council,West Tamar Council,Yes - featured,,,,
Bishopsbourne,7301,VNT,Northern Midlands Council,N/A,Yes - featured,,,,
Black Hills,7140,DST,Derwent Valley Council,Southern Midlands Council,,Yes - featured,,,
Black River,7321,WxNW,Circular Head Council,N/A,,,,,Yes - featured
Blackmans Bay,7052,DST,Kingborough Council,N/A,,Yes - featured,,,
Blackstone Heights,7250,VNT,Meander Valley Council,West Tamar Council,Yes - featured,,,,
Blackwall,7275,VNT,West Tamar Council,N/A,Yes - featured,,,,
Blackwood Creek,7301,VNT,Northern Midlands Council,N/A,Yes - featured,,,,
Blessington,7212,VNT,Launceston City Council,Northern Midlands Council,Yes - featured,,,,
Blue Rocks,7255,VNT,Flinders Council,N/A,Yes - featured,,,,
Blumont,7260,VNT,Dorset Council,N/A,Yes - featured,,,,
Boat Harbour,7321,WxNW,Waratah-Wynyard Council,N/A,,,,,Yes - featured
Boat Harbour Beach,7321,WxNW,Waratah-Wynyard Council,N/A,,,,,Yes - featured
Bonnet Hill,7053,DST,Kingborough Council,N/A,,Yes - featured,,,
Boobyalla,7264,VNT,Dorset Council,N/A,Yes - featured,,,,
Boomer Bay,7177,DST,Sorell Council,N/A,,Yes - featured,,,
Bothwell,7030,DST,Central Highlands Council,N/A,,Yes - featured,,,
Boyer,7140,DST,Brighton Council,Derwent Valley Council,,Yes - featured,,,
Bracknell,7302,VNT,Meander Valley Council,Northern Midlands Council,Yes - featured,,,,
Bradys Lake,7140,DST,Central Highlands Council,N/A,,Yes - featured,,,
Brandum,7304,DST,Central Highlands Council,N/A,,Yes - featured,,,
Branxholm,7261,VNT,Dorset Council,N/A,Yes - featured,,,,
Breadalbane,7258,VNT,Northern Midlands Council,N/A,Yes - featured,,,,
Bream Creek,7175,DST,Sorell Council,N/A,,Yes - featured,,,
Breona,7304,DST,Central Highlands Council,N/A,,Yes - featured,,,
Bridgenorth,7277,VNT,West Tamar Council,Meander Valley Council,Yes - featured,,,,
Bridgewater,7030,DST,Brighton Council,N/A,,Yes - featured,,,
Bridport,7262,VNT,Dorset Council,N/A,Yes - featured,,,,
Brighton,7030,DST,Brighton Council,N/A,,Yes - featured,,,
Brittons Swamp,7330,WxNW,Circular Head Council,N/A,,,,,Yes - featured
Broadmarsh,7030,DST,Southern Midlands Council,Derwent Valley Council,,Yes - featured,,,
